代码,名称,标签,币种,最终限额,限额来源,F10购买信息限额,F10基本概况限额,审计状态
019738,宝盈纳斯达克100指数发起(QDII)A美元现汇,纳指,美元,,,,,未抓到公开限额
019736,宝盈纳斯达克100指数发起(QDII)A人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
019739,宝盈纳斯达克100指数发起(QDII)C美元现汇,纳指,美元,,,,,未抓到公开限额
019737,宝盈纳斯达克100指数发起(QDII)C人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
016056,博时纳斯达克100ETF发起式联接(QDII)A美元现汇,纳指,美元,,,,,未抓到公开限额
016055,博时纳斯达克100ETF发起式联接(QDII)A人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
016058,博时纳斯达克100ETF发起式联接(QDII)C美元现汇,纳指,美元,,,,,未抓到公开限额
016057,博时纳斯达克100ETF发起式联接(QDII)C人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
024237,博时纳斯达克100ETF发起式联接(QDII)I人民币,纳指,人民币,,,,,未抓到公开限额
000834,大成纳斯达克100ETF联接(QDII)A,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
008971,大成纳斯达克100ETF联接(QDII)C,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
000055,广发纳斯达克100ETF联接美元(QDII)A,纳指,美元,280美元,广发基金官网直销限额接口,,,一致/单源
006480,广发纳斯达克100ETF联接美元(QDII)C,纳指,美元,280美元,广发基金官网直销限额接口,,,一致/单源
270042,广发纳斯达克100ETF联接人民币(QDII)A,纳指,人民币,10元,广发基金官网直销限额接口,10.00元,10元,一致/单源
006479,广发纳斯达克100ETF联接人民币(QDII)C,纳指,人民币,10元,广发基金官网直销限额接口,10.00元,10元,一致/单源
021778,广发纳指100ETF联接(QDII)人民币F,纳指,人民币,"3,000元",广发基金官网直销限额接口,,,一致/单源
160213,国泰纳斯达克100指数,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
040046,华安纳斯达克100ETF联接(QDII)A,纳指,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
040047,华安纳斯达克100ETF联接(QDII)A美元现钞,纳指,美元,,,,,未抓到公开限额
040048,华安纳斯达克100ETF联接(QDII)A美元现汇,纳指,美元,,,,,未抓到公开限额
014978,华安纳斯达克100ETF联接(QDII)C,纳指,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
017436,华宝纳斯达克精选股票发起式(QDII)A,纳指,人民币,5000元,天天基金F10基本概况实时交易状态,5000.00元,5000元,一致/单源
017437,华宝纳斯达克精选股票发起式(QDII)C,纳指,人民币,5000元,天天基金F10基本概况实时交易状态,5000.00元,5000元,一致/单源
019524,华泰柏瑞纳斯达克100ETF发起式联接(QDII)A,纳指,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
019525,华泰柏瑞纳斯达克100ETF发起式联接(QDII)C,纳指,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
022664,华泰柏瑞纳斯达克100ETF发起式联接(QDII)I,纳指,人民币,10元,天天基金F10基本概况实时交易状态,10.00元,10元,一致/单源
015299,华夏纳斯达克100ETF发起式联接(QDII)A,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
015518,华夏纳斯达克100ETF发起式联接(QDII)A美元现汇,纳指,美元,,,,,未抓到公开限额
015300,华夏纳斯达克100ETF发起式联接(QDII)C,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
