基金代码,基金名称,币种,份额类别,市场标签,交易场所,净值日期,近1年收益率,近3年收益率,近5年收益率,近10年收益率,日累计申购限额,限额来源,申购状态,赎回状态,天天基金申购费,管理费率,托管费率,销售服务费率,申购费率明细,赎回费率明细,定期报告链接
019738,宝盈纳斯达克100指数发起(QDII)A美元现汇,美元,未标明,纳指,场外/联接/LOF,,--,--,--,--,,,封闭期,封闭期,,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于20万美元: 1.20%；大于等于20万美元，小于40万美元: 0.90%；大于等于40万美元，小于100万美元: 0.60%；大于等于100万美元: 每笔200美元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_019738_3.html
019736,宝盈纳斯达克100指数发起(QDII)A人民币,人民币,A,纳指,场外/联接/LOF,2026-05-21,29.52%,--,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.12%,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于100万元: 1.20% | 0.12%；大于等于100万元，小于200万元: 0.90% | 0.09%；大于等于200万元，小于500万元: 0.60% | 0.06%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_019736_3.html
019739,宝盈纳斯达克100指数发起(QDII)C美元现汇,美元,未标明,纳指,场外/联接/LOF,,--,--,--,--,,,封闭期,封闭期,,0.50%（每年）,0.15%（每年）,0.25%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_019739_3.html
019737,宝盈纳斯达克100指数发起(QDII)C人民币,人民币,C,纳指,场外/联接/LOF,2026-05-21,29.22%,--,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.50%（每年）,0.15%（每年）,0.25%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_019737_3.html
016056,博时纳斯达克100ETF发起式联接(QDII)A美元现汇,美元,未标明,纳指,场外/联接/LOF,2026-05-21,38.88%,97.53%,--,--,,,暂停申购,开放赎回,,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于20万美元: 1.00%；大于等于20万美元，小于60万美元: 0.50%；大于等于60万美元: 每笔200美元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_016056_3.html
016055,博时纳斯达克100ETF发起式联接(QDII)A人民币,人民币,A,纳指,场外/联接/LOF,2026-05-21,31.92%,91.32%,--,--,100元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.10%,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于100万元: 1.00% | 0.10%；大于等于100万元，小于300万元: 0.50% | 0.05%；大于等于300万元: 每笔300元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_016055_3.html
016058,博时纳斯达克100ETF发起式联接(QDII)C美元现汇,美元,未标明,纳指,场外/联接/LOF,2026-05-21,38.48%,95.86%,--,--,,,暂停申购,开放赎回,,0.50%（每年）,0.15%（每年）,0.30%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_016058_3.html
016057,博时纳斯达克100ETF发起式联接(QDII)C人民币,人民币,C,纳指,场外/联接/LOF,2026-05-21,31.53%,89.74%,--,--,100元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.00%,0.50%（每年）,0.15%（每年）,0.30%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_016057_3.html
024237,博时纳斯达克100ETF发起式联接(QDII)I人民币,人民币,I,纳指,场外/联接/LOF,2026-05-21,31.70%,--,--,--,,,暂停申购,开放赎回,,0.50%（每年）,0.15%（每年）,0.15%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_024237_3.html
000834,大成纳斯达克100ETF联接(QDII)A,人民币,A,纳指,场外/联接/LOF,2026-05-21,32.10%,91.32%,111.31%,483.48%,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.12%,0.80%（每年）,0.20%（每年）,0.00%（每年）,小于50万元: 1.20% | 0.12%；大于等于50万元，小于200万元: 1.00% | 0.10%；大于等于200万元，小于500万元: 0.60% | 0.06%；大于等于500万元，小于1000万元: 0.40% | 0.04%；大于等于1000万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于1年: 0.50%；大于等于1年，小于2年: 0.25%；大于等于2年: 0.00%,https://fundf10.eastmoney.com/jjgg_000834_3.html
008971,大成纳斯达克100ETF联接(QDII)C,人民币,C,纳指,场外/联接/LOF,2026-05-24,31.70%,--,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.80%（每年）,0.20%（每年）,0.30%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_008971_3.html
000055,广发纳斯达克100ETF联接美元(QDII)A,美元,A,纳指,场外/联接/LOF,2026-05-21,37.81%,103.32%,105.42%,422.28%,280美元,广发基金官网直销限额接口,限大额,开放赎回,,0.80%（每年）,0.20%（每年）,0.00%（每年）,小于20万美元: 1.30%；大于等于20万美元，小于100万美元: 0.70%；大于等于100万美元，小于200万美元: 0.20%；大于等于200万美元: 每笔200美元,小于7天: 1.50%；大于等于7天，小于1年: 0.50%；大于等于1年，小于2年: 0.30%；大于等于2年: 0.00%,https://fundf10.eastmoney.com/jjgg_000055_3.html
006480,广发纳斯达克100ETF联接美元(QDII)C,美元,C,纳指,场外/联接/LOF,2026-05-21,37.53%,102.09%,103.22%,--,280美元,广发基金官网直销限额接口,限大额,开放赎回,,0.80%（每年）,0.20%（每年）,0.20%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_006480_3.html
270042,广发纳斯达克100ETF联接人民币(QDII)A,人民币,A,纳指,场外/联接/LOF,2026-05-21,32.13%,95.93%,114.31%,441.90%,10元,广发基金官网直销限额接口,限大额,开放赎回,0.13%,0.80%（每年）,0.20%（每年）,0.00%（每年）,小于100万元: 1.30% | 0.13%；大于等于100万元，小于500万元: 0.70% | 0.07%；大于等于500万元，小于1000万元: 0.20% | 0.02%；大于等于1000万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于1年: 0.50%；大于等于1年，小于2年: 0.30%；大于等于2年: 0.00%,https://fundf10.eastmoney.com/jjgg_270042_3.html
006479,广发纳斯达克100ETF联接人民币(QDII)C,人民币,C,纳指,场外/联接/LOF,2026-05-21,31.86%,94.76%,112.00%,--,10元,广发基金官网直销限额接口,限大额,开放赎回,0.00%,0.80%（每年）,0.20%（每年）,0.20%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_006479_3.html
021778,广发纳指100ETF联接(QDII)人民币F,人民币,F,纳指,场外/联接/LOF,2026-05-21,31.89%,--,--,--,"3,000元",广发基金官网直销限额接口,限大额,开放赎回,,0.80%（每年）,0.20%（每年）,0.18%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_021778_3.html
160213,国泰纳斯达克100指数,人民币,未标明,纳指,场外/联接/LOF,2026-05-21,31.98%,103.54%,123.88%,425.63%,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.15%,0.80%（每年）,0.20%（每年）,---,小于50万元: 1.50% | 0.15%；大于等于50万元，小于200万元: 1.20% | 0.12%；大于等于200万元，小于500万元: 0.80% | 0.08%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于365天: 0.50%；大于等于365天，小于730天: 0.25%；大于等于730天: 0.00%,https://fundf10.eastmoney.com/jjgg_160213_3.html
040046,华安纳斯达克100ETF联接(QDII)A,人民币,A,纳指,场外/联接/LOF,2026-05-21,32.68%,92.54%,110.33%,516.97%,10元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.12%,0.60%（每年）,0.20%（每年）,0.00%（每年）,小于100万元: 1.20% | 0.12%；大于等于100万元，小于300万元: 0.80% | 0.08%；大于等于300万元，小于500万元: 0.40% | 0.04%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_040046_3.html
040047,华安纳斯达克100ETF联接(QDII)A美元现钞,美元,未标明,纳指,场外/联接/LOF,2026-05-21,39.67%,98.79%,97.92%,491.06%,,,暂停申购,开放赎回,,0.60%（每年）,0.20%（每年）,0.00%（每年）,小于15万美元: 1.20%；大于等于15万美元，小于50万美元: 0.80%；大于等于50万美元，小于80万美元: 0.40%；大于等于80万美元: 每笔150美元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_040047_3.html
040048,华安纳斯达克100ETF联接(QDII)A美元现汇,美元,未标明,纳指,场外/联接/LOF,2026-05-21,39.67%,98.79%,97.92%,491.06%,,,暂停申购,开放赎回,,0.60%（每年）,0.20%（每年）,0.00%（每年）,小于15万美元: 1.20%；大于等于15万美元，小于50万美元: 0.80%；大于等于50万美元，小于80万美元: 0.40%；大于等于80万美元: 每笔150美元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_040048_3.html
014978,华安纳斯达克100ETF联接(QDII)C,人民币,C,纳指,场外/联接/LOF,2026-05-24,32.42%,91.38%,--,--,10元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.60%（每年）,0.20%（每年）,0.20%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_014978_3.html
017436,华宝纳斯达克精选股票发起式(QDII)A,人民币,A,纳指,场外/联接/LOF,2026-05-25,32.17%,103.39%,--,--,5000元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.15%,1.20%（每年）,0.20%（每年）,0.00%（每年）,小于100万元: 1.50% | 0.15%；大于等于100万元，小于200万元: 1.00% | 0.10%；大于等于200万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于30天: 0.75%；大于等于30天，小于180天: 0.50%；大于等于180天: 0.00%,https://fundf10.eastmoney.com/jjgg_017436_3.html
017437,华宝纳斯达克精选股票发起式(QDII)C,人民币,C,纳指,场外/联接/LOF,2026-05-25,31.64%,100.97%,--,--,5000元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,1.20%（每年）,0.20%（每年）,0.40%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天，小于30天: 0.50%；大于等于30天: 0.00%,https://fundf10.eastmoney.com/jjgg_017437_3.html
019524,华泰柏瑞纳斯达克100ETF发起式联接(QDII)A,人民币,A,纳指,场外/联接/LOF,2026-05-21,30.27%,--,--,--,10元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.12%,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于100万元: 1.20% | 0.12%；大于等于100万元，小于500万元: 0.90% | 0.09%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于30天: 0.10%；大于等于30天: 0.00%,https://fundf10.eastmoney.com/jjgg_019524_3.html
019525,华泰柏瑞纳斯达克100ETF发起式联接(QDII)C,人民币,C,纳指,场外/联接/LOF,2026-05-21,29.95%,--,--,--,10元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.50%（每年）,0.15%（每年）,0.25%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_019525_3.html
022664,华泰柏瑞纳斯达克100ETF发起式联接(QDII)I,人民币,I,纳指,场外/联接/LOF,2026-05-21,30.10%,--,--,--,10元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.50%（每年）,0.15%（每年）,0.10%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_022664_3.html
015299,华夏纳斯达克100ETF发起式联接(QDII)A,人民币,A,纳指,场外/联接/LOF,2026-05-24,31.33%,89.73%,--,--,100元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.12%,0.60%（每年）,0.20%（每年）,0.00%（每年）,小于100万元: 1.20% | 0.12%；大于等于100万元，小于200万元: 0.90% | 0.09%；大于等于200万元，小于500万元: 0.60% | 0.06%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_015299_3.html
015518,华夏纳斯达克100ETF发起式联接(QDII)A美元现汇,美元,未标明,纳指,场外/联接/LOF,2026-05-24,39.10%,97.63%,--,--,,,暂停申购,开放赎回,,0.60%（每年）,0.20%（每年）,0.00%（每年）,小于20万美元: 1.20%；大于等于20万美元，小于40万美元: 0.90%；大于等于40万美元，小于100万美元: 0.60%；大于等于100万美元: 每笔200美元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_015518_3.html
015300,华夏纳斯达克100ETF发起式联接(QDII)C,人民币,C,纳指,场外/联接/LOF,2026-05-24,30.94%,88.02%,--,--,100元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.00%,0.60%（每年）,0.20%（每年）,0.30%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_015300_3.html
018969,汇添富纳斯达克100ETF发起式联接(QDII)美元现钞,美元,未标明,纳指,场外/联接/LOF,2026-05-21,36.35%,--,--,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,暂停赎回,,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于10万美元: 0.12%；大于等于10万美元，小于20万美元: 0.08%；大于等于20万美元: 每笔200美元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_018969_3.html
018968,汇添富纳斯达克100ETF发起式联接(QDII)美元现汇,美元,未标明,纳指,场外/联接/LOF,2026-05-21,36.35%,--,--,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.12%,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于10万美元: 1.20% | 0.12%；大于等于10万美元，小于20万美元: 0.80% | 0.08%；大于等于20万美元: 每笔200美元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_018968_3.html
018966,汇添富纳斯达克100ETF发起式联接(QDII)人民币A,人民币,A,纳指,场外/联接/LOF,2026-05-21,29.52%,--,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.12%,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于50万元: 1.20% | 0.12%；大于等于50万元，小于100万元: 0.80% | 0.08%；大于等于100万元: 每笔1000元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_018966_3.html
018967,汇添富纳斯达克100ETF发起式联接(QDII)人民币C,人民币,C,纳指,场外/联接/LOF,2026-05-21,29.00%,--,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.50%（每年）,0.15%（每年）,0.40%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_018967_3.html
021773,汇添富纳斯达克100ETF发起式联接(QDII)人民币E,人民币,E,纳指,场外/联接/LOF,2026-05-21,29.38%,--,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.50%（每年）,0.15%（每年）,0.10%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_021773_3.html
017952,汇添富纳斯达克生物科技ETF发起式联接(QDII)美元现钞,美元,未标明,纳指,场外/联接/LOF,2026-05-21,39.52%,38.82%,--,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,暂停赎回,,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于10万美元: 0.12%；大于等于10万美元，小于20万美元: 0.08%；大于等于20万美元: 每笔200美元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_017952_3.html
017951,汇添富纳斯达克生物科技ETF发起式联接(QDII)美元现汇,美元,未标明,纳指,场外/联接/LOF,2026-05-21,39.52%,35.99%,--,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.12%,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于10万美元: 1.20% | 0.12%；大于等于10万美元，小于20万美元: 0.80% | 0.08%；大于等于20万美元: 每笔200美元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_017951_3.html
017894,汇添富纳斯达克生物科技ETF发起式联接(QDII)人民币A,人民币,A,纳指,场外/联接/LOF,2026-05-21,32.58%,31.62%,--,--,5000元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.12%,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于50万元: 1.20% | 0.12%；大于等于50万元，小于100万元: 0.80% | 0.08%；大于等于100万元: 每笔1000元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_017894_3.html
017895,汇添富纳斯达克生物科技ETF发起式联接(QDII)人民币C,人民币,C,纳指,场外/联接/LOF,2026-05-21,32.24%,30.72%,--,--,5000元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.50%（每年）,0.15%（每年）,0.25%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_017895_3.html
016534,嘉实纳斯达克100ETF发起联接(QDII)A美元现汇,美元,未标明,纳指,场外/联接/LOF,2026-05-21,36.40%,93.04%,--,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.10%,0.50%（每年）,0.10%（每年）,0.00%（每年）,小于10万美元: 1.00% | 0.10%；大于等于10万美元，小于20万美元: 0.60% | 0.06%；大于等于20万美元: 每笔200美元,小于7天: 1.50%；大于等于7天，小于30天: 0.10%；大于等于30天: 0.00%,https://fundf10.eastmoney.com/jjgg_016534_3.html
016532,嘉实纳斯达克100ETF发起联接(QDII)A人民币,人民币,A,纳指,场外/联接/LOF,2026-05-21,29.68%,88.13%,--,--,100元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.10%,0.50%（每年）,0.10%（每年）,0.00%（每年）,小于50万元: 1.00% | 0.10%；大于等于50万元，小于100万元: 0.60% | 0.06%；大于等于100万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于30天: 0.10%；大于等于30天: 0.00%,https://fundf10.eastmoney.com/jjgg_016532_3.html
